id,state_name,constituency_name,state_name_dm,constituency_name_dm
212,Maharashtra-S13,Akola,maharashtra,akola
213,Maharashtra-S13,Amravati,maharashtra,amravati
214,Maharashtra-S13,Wardha,maharashtra,wardha
215,Maharashtra-S13,Ramtek,maharashtra,ramtek
216,Maharashtra-S13,Nagpur,maharashtra,nagpur
217,Maharashtra-S13,Bhandara - gondiya,maharashtra,bhandara-gondiya
218,Maharashtra-S13,Gadchiroli-Chimur,maharashtra,gadchiroli-chimur
219,Maharashtra-S13,Chandrapur,maharashtra,chandrapur
220,Maharashtra-S13,Yavatmal-Washim,maharashtra,yavatmal-washim
221,Maharashtra-S13,Hingoli,maharashtra,hingoli
222,Maharashtra-S13,Nanded,maharashtra,nanded
223,Maharashtra-S13,Parbhani,maharashtra,parbhani
224,Maharashtra-S13,Jalna,maharashtra,jalna
225,Maharashtra-S13,Aurangabad,maharashtra,aurangabad
226,Maharashtra-S13,Dindori,maharashtra,dindori
227,Maharashtra-S13,Nashik,maharashtra,nashik
228,Maharashtra-S13,Palghar,maharashtra,palghar
229,Maharashtra-S13,Bhiwandi,maharashtra,bhiwandi
230,Maharashtra-S13,Kalyan,maharashtra,kalyan
231,Maharashtra-S13,Thane,maharashtra,thane
232,Maharashtra-S13,Mumbai North,maharashtra,mumbai north
233,Maharashtra-S13,Mumbai North West,maharashtra,mumbai north west
234,Maharashtra-S13,Mumbai North East,maharashtra,mumbai north east
235,Maharashtra-S13,Mumbai North central,maharashtra,mumbai north central
236,Maharashtra-S13,Mumbai South central,maharashtra,mumbai south central
237,Maharashtra-S13,Mumbai   South,maharashtra,mumbai south
238,Maharashtra-S13,Raigad,maharashtra,raigad
239,Maharashtra-S13,Maval,maharashtra,maval
240,Maharashtra-S13,Pune,maharashtra,pune
241,Maharashtra-S13,Baramati,maharashtra,baramati
242,Maharashtra-S13,Shirur,maharashtra,shirur
243,Maharashtra-S13,Ahmadnagar,maharashtra,ahmednagar
244,Maharashtra-S13,Shirdi,maharashtra,shirdi
245,Maharashtra-S13,Beed,maharashtra,beed
246,Maharashtra-S13,Osmanabad,maharashtra,osmanabad
247,Maharashtra-S13,Latur,maharashtra,latur
248,Maharashtra-S13,Solapur,maharashtra,solapur
249,Maharashtra-S13,Madha,maharashtra,madha
250,Maharashtra-S13,Sangli,maharashtra,sangli
251,Maharashtra-S13,Satara,maharashtra,satara
252,Maharashtra-S13,Ratnagiri - sindhudurg,maharashtra,ratnagiri-sindhudurg
253,Maharashtra-S13,Kolhapur,maharashtra,kolhapur
254,Maharashtra-S13,Hatkanangle,maharashtra,hatkanangle
255,Manipur-S14,Inner manipur,manipur,inner manipur
256,Manipur-S14,Outer manipur,manipur,outer manipur
257,Meghalaya-S15,Shillong,meghalaya,shillong
258,Meghalaya-S15,Tura,meghalaya,tura
259,Mizoram-S16,MIZORAM,mizoram,mizoram
260,Nagaland-S17,Nagaland,nagaland,nagaland
261,Odisha-S18,Bargarh,orissa,bargarh
262,Odisha-S18,Sundargarh,orissa,sundargarh
263,Odisha-S18,Sambalpur,orissa,sambalpur
264,Odisha-S18,Keonjhar,orissa,keonjhar
265,Odisha-S18,Mayurbhanj,orissa,mayurbhanj
266,Odisha-S18,Balasore,orissa,balasore
267,Odisha-S18,Bhadrak,orissa,bhadrak
268,Odisha-S18,Jajpur,orissa,jajpur
269,Odisha-S18,Dhenkanal,orissa,dhenkanal
270,Odisha-S18,Bolangir,orissa,bolangir
271,Odisha-S18,Kalahandi,orissa,kalahandi
272,Odisha-S18,Nabarangpur,orissa,nabarangpur
273,Odisha-S18,Kandhamal,orissa,kandhamal
274,Odisha-S18,Cuttack,orissa,cuttack
275,Odisha-S18,Kendrapara,orissa,kendrapara
276,Odisha-S18,Jagatsinghpur,orissa,jagatsinghpur
277,Odisha-S18,Puri,orissa,puri
278,Odisha-S18,Bhubaneswar,orissa,bhubaneswar
279,Odisha-S18,Aska,orissa,aska
280,Odisha-S18,Berhampur,orissa,berhampur
281,Odisha-S18,Koraput,orissa,koraput
282,Punjab-S19,Gurdaspur,punjab,gurdaspur
283,Punjab-S19,Amritsar,punjab,amritsar
284,Punjab-S19,Khadoor Sahib,punjab,khadoor sahib
285,Punjab-S19,Jalandhar,punjab,jalandhar
286,Punjab-S19,Hoshiarpur,punjab,hoshiarpur
287,Punjab-S19,Anandpur Sahib,punjab,anandpur sahib
288,Punjab-S19,Ludhiana,punjab,ludhiana
289,Punjab-S19,Fatehgarh Sahib,punjab,fatehgarh sahib
290,Punjab-S19,Faridkot,punjab,faridkot
291,Punjab-S19,Firozpur,punjab,firozepur
292,Punjab-S19,Bathinda,punjab,bathinda
293,Punjab-S19,Sangrur,punjab,sangrur
294,Punjab-S19,Patiala,punjab,patiala
295,Rajasthan-S20,Ganganagar,rajasthan,ganganagar
296,Rajasthan-S20,Bikaner (SC),rajasthan,bikaner
297,Rajasthan-S20,Churu,rajasthan,churu
298,Rajasthan-S20,Jhunjhunu,rajasthan,jhunjhunu
299,Rajasthan-S20,Sikar,rajasthan,sikar
300,Rajasthan-S20,Jaipur Rural,rajasthan,jaipur rural
301,Rajasthan-S20,Jaipur,rajasthan,jaipur
302,Rajasthan-S20,Alwar,rajasthan,alwar
303,Rajasthan-S20,BHARATPUR,rajasthan,bharatpur
304,Rajasthan-S20,KARAULI-DHOLPUR,rajasthan,karauli-dholpur
305,Rajasthan-S20,Dausa,rajasthan,dausa
306,Rajasthan-S20,TONK-SAWAI MADHOPUR,rajasthan,tonk-sawai madhopur
307,Rajasthan-S20,Ajmer,rajasthan,ajmer
308,Rajasthan-S20,Nagaur,rajasthan,nagaur
