state_name,constituency_name,sheet,elector_General_m,elector_General_w,voter_General_m,voter_General_w,candidate_Contested_m,candidate_Contested_w,voter_POLLING PERCENTAGE_total,result_margin,votes_Total Valid Votes Polled,state_name_updated,constituency_name_updated,constituency_type_updated,country,id
Gujarat-S06,Ahmedabad West-SC,S06-8,851288,791403,544767,446929,12,1,60.67,321546,982305,Gujarat,Ahmedabad West,SC,IN,91
Gujarat-S06,Surendranagar-GEN,S06-9,969752,878093,598970,470272,31,0,58.27,277437,1068939,Gujarat,Surendranagar,GEN,IN,92
Gujarat-S06,Rajkot-GEN,S06-10,979666,904175,658951,530759,10,0,63.43,368407,1176953,Gujarat,Rajkot,GEN,IN,93
Gujarat-S06,Porbandar-GEN,S06-11,863957,796937,533165,410171,16,1,57.14,229823,942107,Gujarat,Porbandar,GEN,IN,94
Gujarat-S06,Jamnagar-GEN,S06-12,856745,799231,557825,446952,25,3,61.01,236804,1003166,Gujarat,Jamnagar,GEN,IN,95
Gujarat-S06,Junagadh-GEN,S06-13,847655,793851,542217,454800,12,0,61.16,150211,989144,Gujarat,Junagadh,GEN,IN,96
Gujarat-S06,Amreli-GEN,S06-14,843662,784290,495865,411648,12,0,55.83,201431,891600,Gujarat,Amreli,GEN,IN,97
Gujarat-S06,Bhavnagar-GEN,S06-15,919879,847120,567578,464533,8,2,58.89,329519,1024896,Gujarat,Bhavnagar,GEN,IN,98
Gujarat-S06,Anand-GEN,S06-16,854186,801026,602173,503504,10,0,66.95,197718,1090269,Gujarat,Anand,GEN,IN,99
Gujarat-S06,Kheda-GEN,S06-17,930077,872956,612434,481581,6,1,60.9,367145,1080356,Gujarat,Kheda,GEN,IN,100
Gujarat-S06,Panchmahal-GEN,S06-18,897112,846094,577870,498261,6,0,62.11,428541,1063543,Gujarat,Panchmahal,GEN,IN,101
Gujarat-S06,Dahod-ST,S06-19,802790,795060,543050,514433,7,0,66.49,127596,1031276,Gujarat,Dahod,ST,IN,102
Gujarat-S06,Vadodara-GEN,S06-20,922019,872107,647847,570017,11,2,68.1,589177,1205349,Gujarat,Vadodara,GEN,IN,103
Gujarat-S06,Chhota Udaipur-ST,S06-21,861722,808812,652896,573945,7,1,73.74,377943,1199591,Gujarat,Chhota Udaipur,ST,IN,104
Gujarat-S06,Bharuch-GEN,S06-22,804519,759612,606980,538517,17,0,73.49,334214,1143404,Gujarat,Bharuch,GEN,IN,105
Gujarat-S06,Bardoli-ST,S06-23,934536,891631,706293,637358,12,0,73.8,215447,1325124,Gujarat,Bardoli,ST,IN,106
Gujarat-S06,Surat-GEN,S06-24,891289,764300,593569,472777,10,3,64.53,548230,1057880,Gujarat,Surat,GEN,IN,107
Gujarat-S06,Navsari-GEN,S06-25,1076395,894986,713388,589682,22,3,66.34,689668,1298985,Gujarat,Navsari,GEN,IN,108
Gujarat-S06,Valsad-ST,S06-26,853027,817823,647087,609749,9,0,75.43,353797,1241070,Gujarat,Valsad,ST,IN,109
Haryana-S07,Ambala-SC,S07-1,984076,862632,707597,605795,17,1,71.01,342345,1308292,Haryana,Ambala,SC,IN,110
Haryana-S07,Kurukshetra-GEN,S07-2,877320,774313,654657,572801,21,3,74.23,384591,1227004,Haryana,Kurukshetra,GEN,IN,111
Haryana-S07,Sirsa-SC,S07-3,955719,844223,730867,636499,19,1,75.94,309918,1365147,Haryana,Sirsa,SC,IN,112
Haryana-S07,Hisar-GEN,S07-4,874295,749117,638294,536805,26,0,72.3,314068,1176912,Haryana,Hisar,GEN,IN,113
Haryana-S07,Karnal-GEN,S07-5,1014157,884691,706599,591424,16,0,68.31,656142,1295259,Haryana,Karnal,GEN,IN,114
Haryana-S07,Sonipat-GEN,S07-6,857003,725768,610957,512815,27,2,70.92,164864,1127068,Haryana,Sonipat,GEN,IN,115
Haryana-S07,Rohtak-GEN,S07-7,915983,798417,653164,556508,17,1,70.26,7503,1217570,Haryana,Rohtak,GEN,IN,116
Haryana-S07,Bhiwani-Mahendragarh-GEN,S07-8,863805,763514,608691,538446,19,2,70.19,444463,1159074,Haryana,Bhiwani-Mahendragarh,GEN,IN,117
Haryana-S07,Gurgaon-GEN,S07-9,1134912,1004827,775280,666146,24,0,67.26,386256,1441120,Haryana,Gurgaon,GEN,IN,118
Haryana-S07,Faridabad-GEN,S07-10,1136887,928711,741280,583185,26,1,64.06,638239,1322309,Haryana,Faridabad,GEN,IN,119
Himachal Pradesh-S08,Kangra-GEN,S08-1,705959,699519,470334,520805,10,1,70.55,477623,995662,Himachal Pradesh,Kangra,GEN,IN,120
Himachal Pradesh-S08,Mandi-GEN,S08-2,637567,630416,461030,469659,17,0,73.46,405459,936073,Himachal Pradesh,Mandi,GEN,IN,121
Himachal Pradesh-S08,Hamirpur-GEN,S08-3,667968,670041,458194,514168,11,0,72.58,399572,980739,Himachal Pradesh,Hamirpur,GEN,IN,122
Himachal Pradesh-S08,Shimla-SC,S08-4,645961,604636,475787,431773,6,0,72.56,327514,905250,Himachal Pradesh,Shimla,SC,IN,123
Jammu & Kashmir-S09,Baramulla-GEN,S09-1,676057,636059,250078,202036,9,0,34.57,30233,447437,Jammu & Kashmir,Baramulla,GEN,IN,124
Jammu & Kashmir-S09,Srinagar-GEN,S09-2,666864,627037,106916,79450,12,0,14.43,70050,185279,Jammu & Kashmir,Srinagar,GEN,IN,125
Jammu & Kashmir-S09,Anantnag-GEN,S09-3,720585,673118,71575,51274,16,2,8.94,6676,123972,Jammu & Kashmir,Anantnag,GEN,IN,126
Jammu & Kashmir-S09,Ladakh-GEN,S09-4,87690,86142,62035,61258,4,0,70.54,10930,125504,Jammu & Kashmir,Ladakh,GEN,IN,127
Jammu & Kashmir-S09,Udhampur-GEN,S09-5,876335,789126,610575,558519,11,1,70,357252,1172555,Jammu & Kashmir,Udhampur,GEN,IN,128
Jammu & Kashmir-S09,Jammu-GEN,S09-6,1040876,964838,758278,697010,24,0,72.23,302875,1476177,Jammu & Kashmir,Jammu,GEN,IN,129
Karnataka-S10,Chikkodi-GEN,S10-1,816958,787468,632366,579970,11,0,75.5,118877,1207187,Karnataka,Chikkodi,GEN,IN,130
Karnataka-S10,Belgaum-GEN,S10-2,890368,881406,625609,573504,53,4,67.73,391304,1201996,Karnataka,Belgaum,GEN,IN,131
Karnataka-S10,Bagalkot-GEN,S10-3,850381,850074,619749,580993,13,1,70.69,168187,1193285,Karnataka,Bagalkot,GEN,IN,132
Karnataka-S10,Bijapur-SC,S10-4,921258,874404,588408,520348,11,1,61.82,258038,1099068,Karnataka,Bijapur,SC,IN,133
Karnataka-S10,Gulbarga-SC,S10-5,980105,964845,610885,574754,12,0,61.13,95452,1178874,Karnataka,Gulbarga,SC,IN,134
Karnataka-S10,Raichur-ST,S10-6,955586,971805,575578,546569,5,0,58.31,117716,1109464,Karnataka,Raichur,ST,IN,135
Karnataka-S10,Bidar-GEN,S10-7,918595,855214,577170,536980,21,1,62.94,116834,1115219,Karnataka,Bidar,GEN,IN,136
Karnataka-S10,Koppal-GEN,S10-8,862466,873539,606297,581406,14,0,68.54,38397,1179534,Karnataka,Koppal,GEN,IN,137
Karnataka-S10,Bellary-ST,S10-9,870900,880165,621814,597246,11,0,69.76,55707,1212902,Karnataka,Bellary,ST,IN,138
Karnataka-S10,Haveri-GEN,S10-10,871259,835569,661429,601867,10,0,74.14,140882,1259267,Karnataka,Haveri,GEN,IN,139
