state_name,constituency_name,sheet,elector_General_m,elector_General_w,voter_General_m,voter_General_w,candidate_Contested_m,candidate_Contested_w,polling_percentage,result_margin,votes_Total Valid Votes Polled,constituency_name_updated,constituency_type_updated,country,id,state_name_dm,constituency_name_dm,flag_more_women,eligible_vote_w,eligible_vote_m,flag_eligible_women,flag_contested_w,margin_ratio,state_name_updated,median_age,GENERAL,SC,ST,median_age_bucket,flag_contested_w_40
Andhra Pradesh-S01,Aruku -ST,S01-1,707693,741531,523085,544258,7,3,74.03,224089,1026561,Aruku,ST,IN,1,andhra pradesh,araku,w,0.7339652691526045,0.7391411247532476,m,yes,21.829097345408602,Andhra Pradesh,49.5,0,0,10,2,no
Andhra Pradesh-S01,Srikakulam-GEN,S01-2,768684,771259,548060,594937,9,0,74.48,6653,1131784,Srikakulam,GEN,IN,2,andhra pradesh,srikakulam,w,0.7713841913027919,0.7129847895884395,w,no,0.5878330140733568,Andhra Pradesh,44,9,0,0,1,no
Andhra Pradesh-S01,Vizianagaram-GEN,S01-3,749438,749681,603059,605843,13,1,80.98,48036,1188389,Vizianagaram,GEN,IN,3,andhra pradesh,vizianagaram,w,0.8081343931618915,0.8046816414433215,w,yes,4.042110790322024,Andhra Pradesh,43,13,1,0,1,no
Andhra Pradesh-S01,Visakhapatnam-GEN,S01-4,914450,910846,608306,624713,10,4,67.77,4414,1223108,Visakhapatnam,GEN,IN,4,andhra pradesh,visakhapatnam,w,0.6858601783396974,0.6652151566515392,w,yes,0.36088391213204396,Andhra Pradesh,48,13,1,0,2,no
Andhra Pradesh-S01,Anakapalli-GEN,S01-5,746440,770950,606111,626764,8,2,81.41,89192,1203594,Anakapalli,GEN,IN,5,andhra pradesh,anakapalli,w,0.8129761981970296,0.8120023042709394,w,yes,7.410472302121812,Andhra Pradesh,51.5,9,1,0,2,no
Andhra Pradesh-S01,Kakinada-GEN,S01-6,775208,787609,616003,611330,12,3,78.95,25738,1217502,Kakinada,GEN,IN,6,andhra pradesh,kakinada,m,0.7761846296830026,0.794629312390997,m,yes,2.1140006340852007,Andhra Pradesh,46,11,4,0,2,no
Andhra Pradesh-S01,Amalapuram -SC,S01-7,728445,730104,617210,607337,9,1,84.47,39795,1216427,Amalapuram,SC,IN,7,andhra pradesh,amalapuram,m,0.8318499830161182,0.8472980115176849,m,yes,3.271466351864929,Andhra Pradesh,43.5,0,10,0,1,no
Andhra Pradesh-S01,Rajahmundry-GEN,S01-8,753238,780030,617706,626974,10,1,81.5,121634,1232340,Rajahmundry,GEN,IN,8,andhra pradesh,rajahmundry,w,0.803781905824135,0.8200674952671002,m,yes,9.870165701024067,Andhra Pradesh,50,9,2,0,2,no
Andhra Pradesh-S01,Narsapuram-GEN,S01-9,708001,730511,580907,587960,14,1,81.8,32676,1165629,Narsapuram,GEN,IN,9,andhra pradesh,narsapuram,w,0.8048612546559873,0.8204889541116467,m,yes,2.8032933291810687,Andhra Pradesh,52,13,2,0,2,no
Andhra Pradesh-S01,Eluru -GEN,S01-10,784838,809167,659879,662137,10,0,83.26,165925,1304043,Eluru,GEN,IN,10,andhra pradesh,eluru,w,0.8182946165624648,0.8407837031336404,m,no,12.723890239815711,Andhra Pradesh,55,7,3,0,3,no
Andhra Pradesh-S01,Machilipatnam -GEN,S01-11,720749,751611,609214,626244,10,2,84.47,60238,1230469,Machilipatnam,GEN,IN,11,andhra pradesh,machilipatnam,w,0.8332022814993394,0.8452512594537072,m,yes,4.895531703764988,Andhra Pradesh,50.5,12,0,0,2,no
Andhra Pradesh-S01,Vijayawada-GEN,S01-12,814598,837479,632378,640718,13,2,77.3,8726,1268800,Vijayawada,GEN,IN,12,andhra pradesh,vijayawada,w,0.7650556013941842,0.7763068409203067,m,yes,0.6877364438839848,Andhra Pradesh,48,13,2,0,2,no
Andhra Pradesh-S01,Guntur-GEN,S01-13,828116,875666,659306,686873,19,0,79.21,4205,1345468,Guntur,GEN,IN,13,andhra pradesh,guntur,w,0.7844006733160817,0.7961517468567205,m,no,0.312530658477199,Andhra Pradesh,50,12,7,0,2,no
Andhra Pradesh-S01,Narasaraopet-GEN,S01-14,820154,848809,707594,721882,13,0,86.05,154002,1424893,Narasaraopet,GEN,IN,14,andhra pradesh,narasaraopet,w,0.8504645921520625,0.8627574821314046,m,no,10.807969440512375,Andhra Pradesh,49,10,3,0,2,no
Andhra Pradesh-S01,Bapatla -SC,S01-15,718086,745777,618167,636396,12,1,86.23,16065,1253274,Bapatla,SC,IN,15,andhra pradesh,bapatla,w,0.8533328327368637,0.8608537139005634,m,yes,1.281842597867665,Andhra Pradesh,46,0,13,0,2,no
Andhra Pradesh-S01,Ongole -GEN,S01-16,774876,774982,663664,659603,13,0,86.24,214851,1321503,Ongole,GEN,IN,16,andhra pradesh,ongole,m,0.8511204131192724,0.8564776815903448,m,no,16.25807886928747,Andhra Pradesh,44,11,1,1,1,no
